player,cost,country,position
J. Lang,10.6,Scotland,Centre
G. Taylor,9.8,Scotland,Unknown
G. Stewart,7.8,Scotland,Unknown
G. Gilchrist,10.6,Scotland,Unknown
J. Ritchie,14.8,Scotland,Back Row
M. Fagerson,14.0,Scotland,Back Row
A. Price,9.7,Scotland,Scrum Half
F. Russell,16.4,Scotland,Fly Half
J. van der Walt,9.6,Scotland,Unknown
D. Graham,13.6,Scotland,Wing
E. Ashman,6.8,Scotland,Unknown
D. van der Merwe,15.3,Scotland,Wing
A. Dell,10.6,Scotland,Unknown
D. Taylor,11.5,Scotland,Unknown
A. Craig,9.6,Scotland,Unknown
B. Kinghorn,13.4,Scotland,Unknown
D. Biggar,15.2,Wales,Fly Half
L. Williams,9.6,Wales,Unknown
C. Hill,10.6,Wales,Unknown
T. Faletau,16.5,Wales,Back Row
T. Francis,11.4,Wales,Prop
T. Williams,11.6,Wales,Scrum Half
A. Wainwright,12.4,Wales,Back Row
A. Jones,14.1,Wales,Second Row
W. Halaholo,11.5,Wales,Centre
W. John,10.0,Wales,Unknown
W. Jones,15.5,Wales,Prop
W. Rowlands,11.7,Wales,Second Row
C. Sheedy,8.9,Wales,Fly Half
D. Lewis,10.6,Wales,Unknown
G. Davies,12.2,Wales,Scrum Half
E. Dee,10.1,Wales,Hooker
L. Williams,14.6,Wales,Wing
L. Rees-Zammit,15.9,Wales,Wing
L. Halfpenny,14.0,Wales,Full Back
L. Brown,9.1,Wales,Prop
K. Owens,13.0,Wales,Hooker
K. Hardy,9.2,Wales,Scrum Half
N. Tompkins,15.3,Wales,Centre
J. Williams,11.4,Wales,Centre
J. Tipuric,16.2,Wales,Back Row
O. Watkin,10.8,Wales,Centre
D. Lydiate,11.1,Wales,Back Row
J. Navidi,13.5,Wales,Back Row
J. Evans,9.6,Wales,Unknown
J. Davies,15.2,Wales,Unknown
J. Botham,11.0,Wales,Back Row
J. Ball,11.5,Wales,Unknown
J. Adams,14.3,Wales,Unknown
H. Amos,10.1,Wales,Full Back
R. Carré,10.6,Wales,Unknown
R. Elias,9.6,Wales,Unknown
G. North,16.6,Wales,Wing
R. Jones,8.7,Wales,Prop
J. MacLeod,10.6,Wales,Unknown
A. Beard,10.7,Wales,Second Row
