player,cost,country,position,mins,tackles,d_tackles,t_breaks,m_ball,mom,tries,conversions,penalties,d_goals,yellow,red,started,week,m_played
H. Jones,10.1,Scotland,Centre,9,1,,,,,,,,,,,0,1,1
W. Rowlands,11.4,Wales,Second Row,14,8,,,,,,,,,,,0,1,1
S. Steele,7.1,Scotland,Scrum Half,11,1,,,,,,,,,,,0,1,1
D. Penaud,14.2,France,Wing,21,3,,,,,,,,,,,0,1,1
L. Brown,8.5,Wales,Prop,14,8,,,,,,,,,,,0,1,1
D. Lydiate,11.3,Wales,Back Row,12,7,,,,,,,,,,,1,1,1
D. Aldegheri,7.6,France,Prop,28,1,,,,,,,,,,,0,1,1
P. O'Mahony,12.5,Ireland,Back Row,14,4,,,,,,,,,,1,1,1,1
D. Fischetti,5.6,Italy,Prop,49,2,,,8,,,,,,,,0,1,1
C. Sheedy,8.2,Wales,Fly Half,14,3,,,,,,,,,,,0,1,1
J. van der Walt,9.6,Scotland,Fly Half,9.6,0,,,,,,,,,,,0,1,1
E. Dee,9.8,Wales,Hooker,9.8,0,,,,,,,,,,,0,1,1
