player,cost,country,position,mins,tackles,d_tackles,t_breaks,m_ball,mom,tries,conversions,penalties,d_goals,yellow,red,started,week,m_played
H. Kolingar,9.1,France,Prop,22.8244898,4,0,0,1,0,0,0,0,0,0,0,0,2,1
H. Slade,15.9,England,Centre,67.57303371,3,1,0,94,0,0,0,0,0,0,0,1,2,1
H. Watson,15.7,Scotland,Back Row,67.57303371,18,0,0,39,0,0,0,0,0,0,0,1,2,1
I. Henderson,12.5,Ireland,Second Row,67.57303371,9,0,1,16,0,0,0,0,0,0,0,1,2,1
J. Botham,11,Wales,Back Row,22.8244898,4,0,0,4,0,0,0,0,0,0,0,0,2,1
J. Brex,8.4,Italy,Centre,67.57303371,9,0,1,24,0,0,0,0,0,0,0,1,2,1
J. George,13.6,England,Hooker,22.8244898,1,0,0,6,0,0,0,0,0,0,0,0,2,1
J. Gibson-Park,9,Ireland,Scrum Half,67.57303371,6,0,1,28,0,0,0,0,0,0,0,1,2,1
J. Gray,14.1,Scotland,Second Row,67.57303371,9,0,2,51,0,0,0,0,0,0,0,1,2,1
J. Hill,13.3,England,Second Row,67.57303371,8,0,1,20,0,1,0,0,0,0,0,1,2,1
J. Lang,10.6,Scotland,Centre,67.57303371,6,0,0,18,0,0,0,0,0,0,0,1,2,1
J. Larmour,13.2,Ireland,Wing,22.8244898,0,0,1,17,0,0,0,0,0,0,0,0,2,1
J. Lowe,14,Ireland,Wing,67.57303371,3,0,2,67,0,0,0,0,0,0,0,1,2,1
J. Marchand,13.5,France,Hooker,67.57303371,12,0,2,52,0,0,0,0,0,0,0,1,2,1
J. May,16.4,England,Wing,67.57303371,6,0,5,98,0,1,0,0,0,0,0,1,2,1
J. Meyer,6.1,Italy,Back Row,67.57303371,11,0,1,16,0,0,0,0,0,0,0,1,2,1
J. Tipuric,16.2,Wales,Back Row,67.57303371,12,1,1,20,0,0,0,0,0,0,0,1,2,1
J. Trulla,7.9,Italy,Full Back,67.57303371,1,1,1,24,0,0,0,0,0,0,0,1,2,1
J. Willis,10.6,England,Back Row,22.8244898,1,0,0,1,0,1,0,0,0,0,0,0,2,1
J. van der Flier,12.4,Ireland,Back Row,67.57303371,6,0,1,31,0,0,0,0,0,0,0,1,2,1
J. van der Walt,9.6,Scotland,Wing,22.8244898,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
K. Earls,13.1,Ireland,Wing,67.57303371,1,0,3,73,0,0,0,0,0,0,0,1,2,1
K. Hardy,9.2,Wales,Scrum Half,22.8244898,4,0,0,0,0,0,0,0,0,0,0,0,2,1
K. Owens,13,Wales,Hooker,67.57303371,12,1,0,25,0,0,0,0,0,0,0,1,2,1
K. Sinckler,13.9,England,Prop,67.57303371,3,1,0,39,1,0,0,0,0,0,0,1,2,1
L. Bigi,10.3,Italy,Hooker,67.57303371,18,0,0,8,0,0,0,0,0,0,0,1,2,1
L. Brown,9.1,Wales,Prop,22.8244898,5,0,0,12,0,0,0,0,0,0,0,0,2,1
L. Cowan-Dickie,13.5,England,Hooker,67.57303371,5,0,4,50,0,0,0,0,0,0,0,1,2,1
L. Halfpenny,14,Wales,Full Back,67.57303371,3,0,0,10,0,0,1,4,0,0,0,1,2,1
L. Rees-Zammit,15.9,Wales,Wing,67.57303371,5,0,2,65,1,2,0,0,0,0,0,1,2,1
L. Sperandio,8.9,Italy,Wing,67.57303371,9,0,0,36,0,0,0,0,0,0,0,1,2,1
L. Williams,14.6,Wales,Wing,67.57303371,3,0,0,38,0,1,0,0,0,0,0,1,2,1
M. Fagerson,14,Scotland,Back Row,67.57303371,9,0,2,58,0,0,0,0,0,0,0,1,2,1
M. Haouas,12,France,Prop,67.57303371,9,1,0,13,0,0,0,0,0,0,0,1,2,1
M. Ioane,12.9,Italy,Wing,67.57303371,4,0,1,100,0,1,0,0,0,0,0,1,2,1
M. Itoje,15.6,England,Second Row,67.57303371,9,1,2,36,0,0,0,0,0,0,0,1,2,1
M. Jalibert,15.5,France,Fly Half,67.57303371,11,0,3,42,0,0,1,2,0,0,0,1,2,1
M. Lamaro,7.3,Italy,Back Row,67.57303371,11,0,0,20,0,0,0,0,0,0,0,1,2,1
M. Lazzaroni,5.4,Italy,Second Row,67.57303371,15,0,0,7,0,0,0,0,0,0,0,1,2,1
M. Malins,9.2,England,Fly Half,22.8244898,0,0,0,4,0,0,0,0,0,0,0,0,2,1
M. Riccioni,5.8,Italy,Prop,67.57303371,6,0,0,0,0,0,0,0,0,0,0,1,2,1
M. Vunipola,13.2,England,Prop,67.57303371,7,0,1,19,0,0,0,0,0,0,0,1,2,1
N. Cannone,8.1,Italy,Second Row,22.8244898,5,1,1,10,0,0,0,0,0,0,0,0,2,1
N. Tompkins,15.3,Wales,Centre,67.57303371,3,0,1,44,0,0,0,0,0,0,0,1,2,1
O. Farrell,15.9,England,Centre,67.57303371,6,0,0,19,0,0,1,3,0,0,0,1,2,1
O. Kebble,9.5,Scotland,Prop,22.8244898,2,0,0,19,0,0,0,0,0,0,0,0,2,1
O. Watkin,10.8,Wales,Centre,67.57303371,8,1,0,37,0,0,0,0,0,0,0,1,2,1
P. Bourgarit,8.5,France,Hooker,22.8244898,2,0,0,0,0,0,0,0,0,0,0,0,2,1
P. Garbisi,11.8,Italy,Fly Half,67.57303371,3,0,0,46,0,0,2,3,0,0,0,1,2,1
P. Willemse,15.2,France,Second Row,67.57303371,16,2,0,11,0,0,0,0,0,0,0,1,2,1
R. Byrne,11.2,Ireland,Fly Half,22.8244898,5,0,1,18,0,0,1,1,0,0,0,0,2,1
R. Gray,12.1,Scotland,Second Row,22.8244898,0,0,0,13,0,0,0,0,0,0,0,0,2,1
R. Henshaw,14.8,Ireland,Centre,67.57303371,4,0,0,67,0,0,0,0,0,0,0,1,2,1
R. Herring,9.6,Ireland,Hooker,67.57303371,5,0,0,8,0,0,0,0,0,0,0,1,2,1
R. Jones,8.7,Wales,Prop,22.8244898,1,0,0,0,0,0,0,0,0,0,0,0,2,1
R. Kelleher,12.1,Ireland,Hooker,22.8244898,6,0,2,36,0,1,0,0,0,0,0,0,2,1
R. Ruddock,11,Ireland,Back Row,67.57303371,4,0,2,52,0,0,0,0,0,0,0,1,2,1
R. Sutherland,12.1,Scotland,Prop,67.57303371,5,0,0,18,0,0,0,0,0,0,0,1,2,1
R. Taofifenua,11.7,France,Second Row,22.8244898,2,0,0,4,0,0,0,0,0,0,0,0,2,1
S. Cummings,12.6,Scotland,Second Row,67.57303371,10,0,0,12,0,0,0,0,0,0,0,1,2,1
S. Hogg,18.7,Scotland,Full Back,67.57303371,2,0,6,142,0,2,0,0,0,0,0,1,2,1
S. Negri,12,Italy,Back Row,67.57303371,14,1,0,50,0,0,0,0,0,0,0,1,2,1
S. Steele,7,Scotland,Scrum Half,22.8244898,0,0,0,0,0,0,0,0,0,0,0,0,2,0
S. Varney,6.3,Italy,Scrum Half,67.57303371,5,0,0,10,0,0,0,0,0,0,0,1,2,1
T. Allan,11.7,Italy,Fly Half,22.8244898,1,0,1,9,0,1,0,0,0,0,0,0,2,1
T. Beirne,12.4,Ireland,Second Row,67.57303371,10,0,1,22,0,0,0,0,0,0,0,1,2,1
T. Curry,15.7,England,Back Row,67.57303371,15,2,2,43,0,0,0,0,0,0,0,1,2,1
T. Faletau,16.5,Wales,Back Row,67.57303371,19,0,1,62,0,0,0,0,0,0,0,1,2,1
T. Francis,11.4,Wales,Prop,67.57303371,11,0,0,13,0,0,0,0,0,0,0,1,2,1
T. Furlong,14.2,Ireland,Prop,22.8244898,2,0,0,19,0,0,0,0,0,0,0,0,2,1
T. Thomas,17.3,France,Wing,22.8244898,0,0,0,2,0,0,0,0,0,0,0,0,2,1
U. Atonio,9.3,France,Prop,22.8244898,5,0,0,4,0,0,0,0,0,0,0,0,2,1
U. Dillane,8.9,Ireland,Second Row,22.8244898,2,0,0,9,0,0,0,0,0,0,0,0,2,1
W. Connors,10.3,Ireland,Back Row,22.8244898,2,0,0,11,0,0,0,0,0,0,0,0,2,1
W. Halaholo,11.5,Wales,Centre,22.8244898,4,0,0,20,0,0,0,0,0,0,0,0,2,1
W. Jones,15.5,Wales,Prop,67.57303371,14,0,1,32,0,1,0,0,0,0,0,1,2,1
W. Nel,11.3,Scotland,Prop,22.8244898,0,0,1,18,0,0,0,0,0,0,0,0,2,1
W. Rowlands,11.7,Wales,Second Row,22.8244898,7,0,0,0,0,0,0,0,0,0,0,0,2,1
W. Stuart,10.3,England,Prop,22.8244898,1,0,0,6,0,0,0,0,0,0,0,0,2,1
Z. Fagerson,11.6,Scotland,Prop,67.57303371,5,0,0,17,0,0,0,0,0,0,1,1,2,1
